,0,1,2,3,4,reviewType
61,Y,0,14,4,"But, I watched my Bloody Mary sit in the well at the bar from about 3 minutes after I ordered it until our food came out. Also, the sauces were wrong for my chicken, and the sides were not what I ordered either. I'm only deducting 1 star because it was service related, and the hound guy taking care of us was the only one to blame. Everyone else (bartenders, hosts, kitchen) did an awesome job.",pos
62,Y,6,23,5,Service was amazing. The chicken wings were perfectly cooked! Would love to go back.,pos
63,Y,111,1,1,Had to wait over 30 min for my food and the manager is NEVER any help! This place NEEDS NEW MANAGEMENT!!!!! It's time for a formal complaint after three really BAD experiences at this location! I will not be coming back!,neg
64,Y,0,1,1,Just came thru the drive thru and waited for 45 minutes for chicken because they had to cook it...so I waited and then when my order came it was missing chicken..so the manager tells me that I am going to have to wait another 20 minutes for additional chicken.... so I asked for my money back and the assistant manager David Jackson was upset that I wanted my money back. Hey David this is my money and not yours...so thanks for it back. He stated that there was all new people working so that is the reason why the service is soooooo slow...This is the last time going to KFC on WESTERN AVE...Every single time I go there it is a wait for chicken or they mess up the order. I vowed to stay away but damn I love the fried chicken and the only spot close enough to me. Please CORPORATE get rid of this Franchise on WESTERN AVE because they are useless and hopefully we can get a Zaxbys....POPEYES...or something else to replace this hell hole. Now I got to order a Pizza because I do not want to drive for any other chicken. KFC you get the finger for poor service..poor attitude from manager and hiring all new employees to work on a Friday night.. FINGER LICKING NOT SO GOOD....F RATING,neg
65,Y,0,1,2,I've been coming here for over 2 years and I have not once had good service!!!! Acceptable @ times but NEVER GOOD! So much so my husband cringes everytime I say let's go there. Today I came in by myself @1:17. I was not so professionally told to sit there she cleaned it @ 1:21. They were very busy I understand that... I was near the register 2 waitress/ hostess 1 buser & 1 cook past me multiple times. It is now 1:34 not one person ever came to my table... The sad thing is they have good food. But They A) don't have enough people to run a busy restaurant and B) the people who are there don't give a diddly squat!!!!,neg
66,Y,0,10,2,Great food but it could be cleaner I saw a roach crawling on the wall out where I was eating. The roach was gross but I still go back. Just wish they would clean a bit more or have pest control come out.,pos
67,Y,44,7,4,"I have mixed feelings about this place, but I'll give the 4 stars simply based on the food alone. If you can get past the slow and rude service, the occasional unwelcomed vibe and the language barrier, be prepared for some delicious authentic Asian cuisine. The fish filet in Szechuan pepper sauce is life!",pos
68,Y,84,2,4,Service is not the greatest but the food will keep us coming back. Kung Po is fantastic.,neg
69,Y,0,7,4,Best Pho in town.,pos
70,Y,0,4,5,Wow great Chinese food. Service is nice and friendly. Food is fresh and hot. Quick and easy meal for takeout. I always get takeout fried rice and its delicious.,pos
71,Y,0,3,3,"Great food. Especially if you're on a college budget like me, I'd recommend trying the fajitas for two. It's easliy enough to feed 3 or 4 people and only about 18 bucks or so. Also have a cheese dip. You can get a large bowl for $5. At Cancun's it cost $5 for a regular sized cheese dip which is probably not even half its size. I never have had a cheese dip I didn't finish until eating at Soccer Taco because it's so huge! The down sides are the service is mediocre and the floors are always dirty when I eat there, which in their defense I usually don't get there until it's an hour or so until closing time. There is always straw papers, food remants, etc. in the booths and on the floor. The bathroom was trashed the one time I went in there. I won't go back in the bathroom unless I have to.",pos
72,Y,0,4,3,"Not bad. Decent prices. The service screws up orders here and there. Overall, nothing memorable.",pos
73,Y,0,1,4,"We just moved here from NY and just wanted an inexpensive meal. We really liked the feel of this place, and were surprised by the quality of the food. This is a good value, the staff is nice and cool, and the prices and food are good.",pos
74,Y,0,1,3,"Tea was super good, fries were ok they needed more seasoning. The burger was nothing like I expected. It was supposed to come on Texas toast, but it was definitely white bread... and burnt. I asked for extra pickles because they don't have jalapenos. However, the pickles were sweet so once again not what I expected and that was an additional .50 charge for a 1oz souffle cup. I told the owner the bread was soggy upon opening my togo order, but she didn't say anything. Just looked at me...go elsewhere for a burger. This is not the place.",pos
75,Y,3,25,5,Dreaming of Jackie's Dream! Overall great experience as always.,pos
76,Y,0,7,5,Great food selections and service. Quality food and experiences. Grateful for the owner and staff interactions. Great selections and prices. Bring your friends!,pos
77,Y,0,3,5,"Hot chicken, fried okra, and service are all tops. You won't be sorry.",pos
78,Y,322,1,1,"We were eager to visit Tupelo Honey on our recent trip to Knoxville, but were turned away. The restaurant had plenty of unreserved seating available for lunch, and the hostess, without hesitation, told us the wait would be 2 1/2 hours",pos
79,Y,16,85,1,Bland Unseasoned Food... don't go,neu
80,Y,0,24,3,It was good but expensive for the amount of food you got....slow getting our food too,pos
81,Y,0,3,3,"We visited this place a dozen times due to its location and supposed popularity. Each time we were slightly more disappointed than before. This place is fine to try just to see what all the hype is about, but not worth visiting more than a couple times.",neg
82,Y,0,2,3,THC is OK and they try to be different and succeed for the most part.,pos
83,Y,117,4,3,sweet. potatoes,pos
84,Y,11,7,3,"We were underwhelmed. It didn't live up to the hype, other than that the fried green tomatoes were delicious. It cam to the table, two slices, nicely breaded, with no sauce for spreading in the slices or dipping. I had to ask for a side sauce and the server looked at me like I was an alien. Service was good, but my food did not live up to the hype other than the tomatoes. Of course, I only had a burger, but it was bland and nothing special about the meat or the bun. Four friends seemed to enjoy their food but there was none of the 'Wow, you've got to try this"" factor present. Maybe they do better with their southern dishes like meatloaf. I wouldn't go back, simply for the fact that there are places to eat on Market Square that have better food for the price.",pos
85,Y,0,1,4,Ryan was an amazing server! Best I've had in a while. He was so knowledgeable and allowed time for us to browse the menu as it was our first visit. He was able to provide the best choices for my family and I. He did not disappoint. I hope all servers are as great as him!,pos
86,Y,5,1,1,"I've tried this out a few times and without exception I always get treated rudely by employees. I work in the service industry also so I know how frustrating it can be but there is no excuse to not respond when a customer tells you ""thank you""",neu
87,Y,115,1,1,By far the worst fast food in Knoxville. Nothing about it is fast and my food is never correct. I come back here every so often to give them another chance and it has not changed! Everyone here moves slow and has the worst attitude.,neg
88,Y,0,8,1,One star is giving them too much.. As a former employee I must say this location by far is the absolute worst. Manager Coco Started harassing my wife about spending too much time in the lobby area when I was on the clock. Which wasn't true because she was in the process of handing me money to pay for her food while she was on lunch break. She proceeded to harass and saying that she was impeding the flow of customers when she herself was a customer a paying customer might I add ! She followed us out into the parking lot yelling and cursing at my wife. I quit on the spot and definitely do not recommend this location to eat or to work. I am very disappointed at the amount of employees who are constantly on their phones while on the clock . And as a customer they are very quick to notice who it is and be very unprofessional gossip when I am walking away and generally ignoring me and my wife on purpose. Not to mention I get an entire dollar more at my current job that I do hear the pay is not worth the price you pay to work like a dog and be treated like crap !,neg
89,Y,0,10,2,It was pretty bad. The only thing that was good was the soft taco supreme. Somebody tried to steal money from a person in the drive thru while I was there. Taco pizza was okay.,pos
90,Y,31,2,1,"Cockroach in my chicken burrito. Yes. Sat down after a loong Christmas drive way my family to have a meal. Spent $57 for everyone to eat .....only to find that when I opened up my burrito there was a baby bug.... roach looking thing on it. Listen folks, do yourself a favor and don't stop here EVER. I asked the manager to comeOver and see it. Was told by the Ms. Manager that they don't ever have anything bug problems...... and she just looked at me. I said well we just spent $57 in food and I almost ate a cockroach!!!! I wanted our money back. Nobody wanted to continue to eat anything at this point. We could barely hold down the few bites everyone had taken. She wanted to refund me the $1.99 for the taco that I actually found the bug in?!?!?!.... ummmm no. Not good enough for me. I want my money back..... and that still doesn't help me feel better as far as I'm concerned. I came centimeters away from consuming a disease infested dead bug .... and my kids?!?!? Omg! What if it was theirs... and they didn't check to see if their lunch was full of bugs? Long story short- she told me to call 1-800 Taco Bell..... want a crappy mgt. refused to reimburse our lunch. But just $21. let's just say it's not even worth one star obviously. I will be contacting the health department to follow up on this disgusting place of business. Go ahead ... order up some crunchy cockroach chicken in the meantime.",neg
91,Y,0,2,1,This place is an insult to Mexican food and culture. My taco was wrapped in aluminum foil like a burrito and tasted like it was in a crock pot all day. I will never eat here again.,pos
92,Y,2,14,4,The food was fantastic but I'm only giving 4 stars because I've been 3-4 times now and this place is so popular with the college groups parking is insane most of the time you have to drive around 2-3 times before someone leaves and there is literally always a wait. Glad they are business and making a profit but I will usually pick somewhere else because they are too popular.,pos
93,Y,94,3,5,"Not an exaggeration when I say this restaurant has never failed to go beyond expectations .... I have only been twice but each time has literally blown my mind. Cannot emphasize enough how good this restaurant is ; amazing food, good service and and overall great atmosphere.",pos
94,Y,0,2,5,Their Carne Asada burrito is the best!,pos
95,Y,119,1,2,"The absolute worst margarita I have ever had. TARTNESS is off the charts. On a better note, I had the burrito flat iron and it was good. Throw down a. Wet here peeps.",pos
96,Y,59,3,3,Employees were quite rude. While we were waiting for a table the bartender was quite rude and then hostess was even more rude. She didn't care about us. Was looking forward to eating here this being my my first time in town and visiting. I was disappointed. Our server was good. She was nice and apologetic. Our server was the only reason I didn't give a 1 star review,neg
97,Y,81,15,4,Your review helps others learn about great local businesses.,pos
98,Y,0,1,1,"I would have given 4 stars for the food. Great old school egg rolls. The buffet and food ordered are always very good. But they are so RUDE! It's like they're pissed off at you for spending your money there. I refer to them as the ""Dragon Ladies"". It was funny at first. Kinda like the ""Soup Nazi"" from the Seinfeld tv show. But the last time I went they were total jerks. As much as I love their food, I probably won't be back. Others I've talked to feel the same way. They need an attitude adjustment to say the least. I was about to go off on them, but thought maybe the older dude cooking the food might be a Kung Fu master. And give me the Bruce Lee fiver finger death punch. Haha! Anyway the rudeness out ways the food. Avoid unless you like to be insulted.",neg
99,Y,0,2,5,"Best in town, food is always fresh and tastes great. You cannot beat the lunch buffet for $6 if you have time to wait.",pos
100,Y,0,5,1,I've never been sicker in my life! The oysters I ordered were barely warm and tasted just awful! Our waitress was no where to be found but showed up long enough to leave the check. She didn't ask if everything was alright (or I would have told her!) nor did she acknowledge my food was barely touched. It wasn't even an hour later before I was expelling what little I ate. I will NEVER return to this place.,neg
101,Y,0,8,1,"terrterrible,  terrible, terrible. if you want to imagine you live in a third world country, this is your place.",neg
102,Y,13,1,1,"I have been here a few times and recommended friends about this place until this happened. I think there was a miscommunication so I didn't get what I ordered, which was totally fine. They could have explained to me that there was only 1 cook and if the order was wrong they have to ""throw it away"". I would get that and take the food. The girl was so passively aggressive about it. I didn't think it was a big deal until she did that. I love your food but please train your staffs better. thank you.",pos
103,Y,0,2,1,This was my first time coming to this restaurant. So I asked about many different dishes. I asked about the Beef Laab. And she said she DID recommend it. That it was GOOD and fishy. When we got our food it tasted like a mint planet. That's all that I could taste was the mint. It was not good. So I asked another server which was super nice and friendly if I could change my meal. And the other server from before got mad and yelled across the restaurant towards us that she didn't recommend it to us and told us that it was not good. Which was a lie. The nice server told us sorry about that and gave us a refund for the meal and told us that the other girl is always snippy and rude like that. Our server was extremely rude and snippy. If you are going to be rude and you are working for that job you shouldn't be there working.,pos
104,Y,0,15,3,It's okay... average. Not my favorite!,neg
105,Y,0,23,3,"Forgot part of our order, but still pretty good food.  I've gotten take out several times.",pos
106,Y,0,6,4,Had a wonderful time enjoy some great food. Come check out our adventure traveling and writing some reviews while trying out new things while living in a rv youtu.be/32o3j01PxPY also if your looking for a deal for amazon prime click this link before it runs out. amzn.to/37Z5PW0. Thanks everyone,pos
107,Y,0,7,4,"Very expensive for what it was. The staff and quality is great, it just is very expensive",pos
108,Y,1,8,4,"This has to be one of the best kept secrets in Knoxville. Their pho is amazing as is just about everything on the menu. Ask for the crispy chicken skins (they aren't on the menu). If they have them, they are incrdeible. Thie noodle bowls are great. The food is 5 star, but I took a star off because the interior, while clean as a whistle, is a bit spartan.",pos
109,Y,0,15,4,One of my favorite restaurants anywhere. There food is great and they are always so nice.,pos
110,Y,0,9,4,"I've only been here once. I got the Phoritto, it was pretty good! Better than I expected. Will definitely return and try some other items.",pos
111,Y,0,3,1,"I use to go often, but no more. The food is good and never had any problem with the service, but if you are a concealed carry permit holder, and exercising your right to carry, eat out and protect you and your family at the same time, this is not the place. They don't post on the entrance, but you will see a sign on the wall behind the cash register quoting a law that has been changed by the State of Tennessee. It still indicates to me that The manager or owner does not want me to eat there.",pos
112,Y,0,2,1,Had a horrible experience and the manager with the shaved head did not seem to care. Will go to Wok Hay or Genghis Grill next time.,neg
113,Y,0,6,3,"been there a couple of times and is good  ,,,but,,,,,, the only thing i didnt like is i got the same thing every time ))) the sesame chicken and
the portions were different each time first time was  alot and ate it all  and this last time is was very very spicy ,, think they added something but whatever it was it was too much heat    i couldnt eat it all  too spicy !!!
try something different next time",neg
114,Y,0,4,3,"I love the Pad Thai! Mu husband ordered a Thai dish with steak and chicken with brown rice and his meal was cold.. poor thing just had to eat it for not complaining. I insisted he went to tell the cook , but he was very hungry and just ate his cold food. Other than that we have had great experiences prior to today.",pos
115,Y,10,18,3,"Good food, sticky messy floors and messy beverage service area.",neg
116,Y,5,1,4,This is a great place for some quick Chinese food.  I have eaten here many times and as always their service is prompt and the food is consistently delicious.,pos
117,Y,0,4,4,I love PF Chang's but don't always have the time or money to make it a regular thing.  Pei Wei gives me the same full belly in a more convenient location.  It's usually the only place in Turkey Creek I eat.  Highly recommend.,pos
118,Y,0,19,4,"This is a great little restaurant with really good food...I loved this place...only one problem...the food is ""LOADED"" with garlic...not that I don't like garlic but I mean it is really loaded with it and the smell lasts for days and days after you eat there!!  But I will go back...when I know I am going to be able to stay away from every one for a few days!!!",pos
119,Y,0,3,5,Great customer service.The fastest Pei Wei I have ever been to!Great asian fusion!! Thank you. 5 Stars!!! Woohoo!,pos
120,Y,0,3,5,Good service and great food. Wish had more locations .,pos
121,Y,0,6,5,I love the Kung Pao chicken.,pos
122,Y,0,2,5,The food is great and the staff recognizes us and gives us great service. We try and get there at least once a week for lunch. Better menu than P F Chang,pos
123,Y,0,1,1,Terrible customer service!  We got the wrong change back and called back after we got home from picking up our order and all the manager had to say was it had been too long to be able to tell if the change was wrong!  What ever happened to the customer is always right.  I will never go back to this place again!,neg
124,Y,0,2,2,I had a  take out order. Eggroll was old and tasteless. The wonton soup was poor at best. watered down broth and wontons fell apart from sitting to long in broth. I wont go back.,pos
125,Y,0,4,3,"3.5 stars. Authentic Chinese food , but it's not authentic szechuan style Chinese food",neu
126,Y,0,5,4,"The waitress was attentive and kept my glass filled. The meal is served in three rounds, soup first then egg roll, and the the entree. I don't really recommend the general tso's chicken as an entree, but the rice and steamed broccoli was more than enough food after the soup and egg roll. I will definitely be dining in again.",pos
127,Y,0,3,5,Been coming here for years. Now we just call it in and pick it up from the drive thru option. Always made correct always very good and you can't beat the cost!,pos
128,Y,7,1,5,"The food is exactly like the pictures! AMAZING! Presentation was perfect, people were kind, and food came out fast, but hot! Very vast verity of food! I would recommend it to anyone and I am defiantly coming back!",pos
129,Y,0,2,5,"They have Great food, lots of choices and great service for a great value. Family environment.",pos
130,Y,7,4,5,I love their shrimp fried rice and the best hot and sour soup.... I really like it on a cold day,pos
131,Y,0,2,5,"Wish I could give them more stars! Food is beyond awesome, menu is extensive, staff is friendly and helpful, prices very reasonable. If i lived in Knoxville I would eat here often. Definitely on my personal Top Ten list!",pos
132,Y,0,2,5,"Service was very good, the food was excellent, and for the price a pretty good deal.",pos
133,Y,0,1,1,your crab rangoons taste like sour cream. (that ain't good),neu
134,Y,0,1,1,The customer service is so bad at this place. After I placed my order I was asking to give me extra general tso sauce the lady immediately said no to me. I mean I just want the side order of it that's all. Rude people... I'll never go there again,neg
135,Y,0,1,1,"HORRIBLE CUSTOMER SERVICE. These people are nothing but common thieves and liars. They do not honor their promotions and then blame the customer. And on top of it, the food is awful. Cold and raw chicken. Never eat with these criminals.",neg
136,Y,0,1,2,We had two general tsu chicken one with rice one with lomaine just not that good dumplings weren't good at all and I won't even touch the crab rangoons,neg
137,Y,1,12,4,My children and I have been eating here for 9 years. We love the food but most of all the owners/staff that have watched my boys grow and developed relationships with them/me.,pos
138,Y,0,1,5,"If you enjoy tasty asian dishes with a little or lot of spice you have to order the Drunken Noodles. I got at least once a week and order it with chicken and medium spiciness. You will not regret this decision! The Pad Ped is also very very good. I cannot get enough of this place, I just wish more people knew about it... Check em out",pos
139,Y,0,35,1,Terrible! Terrible! Terrible! Terrible! and Absolutely Terrible! Please shut this place down immediately!,neg
140,Y,0,6,5,................ ...............................................................................................................         ............,neu
141,Y,0,1,5,I'm a big fan of Indian food and I can say that this place is one of the best Indian restaurants in the sonterra area.,pos
142,Y,148,7,5,This place is amazing best Indian food. It's very authentic and yummy. My husband I were visiting family in San Antonio and we found this place. Highly recommend this place. It's clean and customer service is on point. Love it.,pos
143,Y,0,2,5,"5.0 star rating6/1/2016
Friendly service, great food! Been eating here for years.",pos
144,Y,0,15,5,"Excellent dining experience. We Love eating healthy, and this is the place to eat. Well kept Restaurant. Very Clean, food was great!!!! Anytime were in this area , we will truly eat here. The Marsala Chai Tea is awesome. Loved it! Keep up the great work.",pos
145,Y,0,2,5,great food!,pos
146,Y,0,2,5,"2 reviews
5.0 star rating2/1/2015
Great food!!",pos
147,Y,0,5,5,"Great food and quick, attentive service!",pos
148,Y,0,1,5,this is great place for indian food...they have varieties of food to choose from.,pos
149,Y,0,71,5,Great buffet!,pos
150,Y,0,1,5,"OMG!, the best Chicken Tikka Masala, Basmati rice, and Garlic Naan ever!!!",pos
151,Y,1,2,1,"the service was so bad. the waiter take the order in hurry and not patient at all. We ask for recommendation for the ordering the dishes, but they don't even say any. We ask for4 different sever to get the fork and ice water. The seafood soup are just water with a few piece of seafood. Twice cooked pork was only cabbage. The chicken wings are OK but not that excellent for us. We though that they already charge for the tip on the bill. One of the sever run for to get the tip and he didn't even explain anything about bill. The black bean source noodle is better in Korean restaurant at Geary Street.  Since the service and the food wasn't good enough, we will never go back. If you don't care about the service and just to try the food, you may want to go one time. For us the food wasn't as good as we heard.",neg
152,Y,0,2,1,"Burma Superstar is one of the most overrated restaurants in a place ( San Francisco ) with a lot of overrated restaurants. I've been going here for many years but I've noticed over the past few years the protein portions have gotten a lot smaller and the service slower and less friendly. Last but not least, rats can be seen inside the restaurant on Clement St . when walking by late at night. I'm sorry to say this but it's absolutely disgusting. I've had enough and I won't be returning.",neg
153,Y,0,8,1,"Too crowed. Tables so close that other people are listening to your conversation saying, ""What did she say?"" They NERVE.",neu
154,Y,316,96,1,Food was Tasteless and we had a long wait. Not worth it. Not priced right as well. Not coming back.,pos
155,Y,14,3,1,"errible slow service, wasn't even busy. Owner getting on employees case in front of us.  Ordered food then asked for water, a minute later we were asked to leave!  What the heck??",neg
156,Y,1,396,2,"It's ok.  I don't for the life of my understand why there is always a line here that is usually about 1.5hours.  

So many other choices.",neu
157,Y,4,43,2,Not worth the hype!,neg
158,Y,78,29,2,"Sorry Guys..., but my experience was not good at all.
First i was to say that food taste so so , but also the food was cold.
The place is small . No customer service at all.
Any way its not worth it for me and my family.
Cold , not guality food plus $$
will never go again.
Just went because so many possitive reviews on Yelp?",neg
159,Y,0,9,2,One word! Overated,neu
160,Y,0,3,2,"We used to like Burma Superstar very much, go there on special occasions and recommend for friends.
We know that the place is small and usually the waiting is outside

today, we had friends from France visiting and decided to visit Burma Superstar again

We got there at 3:20 in order not to have to wait to much ( they get orders unitl 3:30)

it was a cold and reining day

getting there, a very waitress immediately asked us to clean the door and to chosse our food outside. I was with my 7 months baby and asked her if I could wait in a corner inside

she was adamant saying no. No for waiting on a corner ( only me, not my party), no for having the stroller, no for everything

what is the point of  going to a place and being treated worse than cattle

finally, we noticed that they are serving smaller portions ( same price)

now, we have to find another special place

fame spoiled Burma Superstar",pos
161,Y,137,343,3,"Been there 3 times...The line is long, the tables are close, it is really noisy and popular.Parking is a pain.  Food is good - yes, very good, staff is efficient.",pos
162,Y,1,7,3,This place might has a long waiting queue so please be there a bit early before you are so hungry. Food so nice and price is reasonable. Service was just ok.,pos
163,Y,53,17,3,Not sure about the hype but food was just ok. It sure is over rated.,pos
164,Y,198,21,3,"Awesome servers. The food wasn't all that I expected to be. Try it out, you may have a different experience.",pos
165,Y,56,1,3,"Good but not great. Service was excellent and food came out fast.

It was generic, I've certainly had the same or better elsewhere. Stick to mains, the appetizers weren't the best (table consensus).",pos
166,Y,0,87,3,"I loved this restaurant the first time I visited but felt the execution was different this time.  I visited at lunch versus dinner, so perhaps it was some variation in the kitchen.  Wowed the first time, underwhelmed the second, and I had exactly the same items.",pos
167,Y,0,31,3,Worth the long wait if you are patient with no place to wait it out but the food is excellent.,pos
168,Y,0,2,3,Good Burma Star,pos
169,Y,3,37,3,"Not bad
",pos
170,Y,0,14,4,"Great atmosphere but service could've used some work. (Although, in their defense, another table in our section was a hassle.) Ribs were amazing. Sauce and rub was so good that I picked some up.",pos
171,Y,0,2,4,Awesome food! Hardly any fat on the ribs!,pos
172,Y,3,5,4,As everyone says... It was the best BBQ. Servers were very friendly and made sure we were satisfied. Recommended highly.,pos
173,Y,0,5,5,Through an alley and below a garage. Ribs are great and Brisket although not as good as Texan Brisket still very good. The sides are some of the best I have had. Great place to get BBQ,pos
174,Y,0,3,5,I go here about twice a year always excellent food and service,pos
175,Y,0,24,5,Great food and great service. This place is a true classic bbq restaurant. I always go there when in Memphis.,pos
176,Y,0,3,4,We went on a weekday night so luckily wasn't too bad. We put our names on the Yelp Waitlist before Rainbow Salad. It has 22 different ingredients with four coconut Rice. The meat was seasoned perfectly and really really tender. It's worth it to order the coconut rice white/brown rice. It's delicious with their curry!,pos
177,Y,0,4,4,"I love this restaurant,  the food is delicious and fresh.  I do modify some dishes to align with my diet but overall I enjoy it.  My favorite dish is the vegetarian rice with pines nuts. I eat there at least once a week and now my daughter is obsessed with Burma too, her favorite dish is sesame chicken. I order take out more than eat at the restaurant, it can get loud in there at peak hours.",pos
178,Y,30,18,5,Excellent ribs and brisket. Brisket was the best. Great atmosphere as well. A must when visiting Memphis.,pos
179,Y,1,5,4,Very long wait time. Anyway service was great and the food was excellent. Absolutely worth the visit.,pos
180,Y,0,54,5,One of my favorite places! The Lamb is my favorite always a home run hit!,pos
181,Y,36,26,5,There's no way that anyone will say this place is terrible. All I can say is I want more please. Love all the decor.,pos
182,Y,105,7,5,"Great atmosphere, amazing food! Great people! If I am back in Memphis or close this is where I am headed!!",pos
183,Y,95,47,5,One of my favorite places to eat. Hands down the best ribs going .....,pos
